feature,importance
num__density_alcohol,0.14268602771203265
num__alcohol,0.11447928858472092
num__density,0.07597529249253553
num__volatile_acidity,0.06625787815233791
num__sulfur_ratio,0.05794918722769846
num__total_sulfur_dioxide,0.05321513587673561
num__citric_acid,0.05319222053442285
num__chlorides,0.052207558843890285
num__sulphates,0.04950743732502133
num__chlorides_log,0.047280312695887075
num__ph,0.04703227512983967
num__sugar_to_alcohol,0.04535823378497816
num__total_acidity,0.044482762905065955
num__free_sulfur_dioxide,0.04442596897444781
num__fixed_acidity,0.036111632382123934
num__residual_sugar_log,0.03372943075835109
num__residual_sugar,0.033239393950868064
cat__wine_type_red,0.0017287445965687997
cat__wine_type_white,0.0011412180724739431
cat__flag_free_sulfur_gt_total_False,0.0
